"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2004-10",,,,,,,"9",",0","7",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","106.2",",,0,19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157.3",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00128442","STENDAL, IN US","38.26714","-87.14299","198.1","2004-10",,,"654.0","0","5.4","1,0","12",",0","9",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","16",",0","0",",0","0.6","1,0,24,","0",",,0,31,+","0.0",",,0,31,+","54.9",",,0,27,","27.2",",0,30,+",,,"121.4","0",,,,,,,,,,,,,"106.6",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217.7",",,,0",,,"0",",,,0","15.0","1,0","20.6",",,,0","9.4","1,,,0",,,,,,,,,,,,
"USC00126023","MUNCIE, IN US","40.1825","-85.3497","294.4","2004-10",,,,,,,"11",",0","6",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","18.0",",,0,13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70.6",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00125055","LIGONIER 2 S, IN US","41.43111","-85.58972","282.2","2004-10",,,,,,,"6",",0","5",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","15.0",",,0,30,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.2",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00124642","KNIGHTSTOWN 2 ENE, IN US","39.8075","-85.4877","303.9","2004-10",,,,,,,"8",",0","6",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","55.9",",,0,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.8",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2004-10",,,,,"0.3","2,0","13","2,0","7","2,0","0","2,0","0","2,0","0","2,0","3","2,0","0","2,0","13","2,0","0","2,0","-0.6","2,0,17,","0","2,,0,31,+","0.0","2,,0,31,+","41.1","2,,0,18,","28.9","2,0,08,",,,"174.6","0","15.0",",,,2,3,2","18.3",",,,2,5,2",,,,,,,,,"155.0","2,0","26.1",",,,2,3,2","23.3",",,,2,5,2",,,,,,,,,"6.1",",,,2,3,2","11.1",",,,2,5,2",,,,,,,,,"11.1",",,,2,3,2","13.3",",,,2,5,2",,,,,,,,,"11.9",",,,2,3,2","15.0",",,,2,5,2",,,,,,,,,,,"18.6",",,,2,3,2","18.3",",,,2,5,2",,,,,,,,,,,"151.1","2,,,0",,,"0","2,,,0","13.0","2,0","20.0","2,,,0","6.0","2,,,0",,,,,,,,,,,,
"USC00127755","SALEM, IN US","38.6157","-86.0855","239.3","2004-10",,,,,,,"12",",0","10",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","63.5",",,0,19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166.7",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2004-10",,,"341.2","0","3.1","1,0","9",",0","6",",0","0",",0","0",",0","0","1,0","1","1,0","0","1,0","6","1,0","0","1,0","0.0","1,0,17,","0",",,0,31,+","0.0",",,0,31,+","49.5",",,0,15,","26.1","1,0,30,",,,"271.7","0",,,,,,,,,,,,,"198.6","1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98.2",",,,0",,,"0",",,,0","11.8","1,0","17.0","1,,,0","6.6","1,,,0",,,,,,,,,,,,
"USC00127875","SCOTTSBURG, IN US","38.68861","-85.785","173.7","2004-10",,,,,,,"11","5,0","8","5,0","0","5,0","0","5,0",,,,,,,,,,,,,"0","5,,0,31,+","0.0","5,,0,31,+","95.3","5,,0,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172.7","5,,,0",,,"0","5,,,0",,,,,,,,,,,,,,,,,,
"USC00129138","WABASH, IN US","40.7917","-85.8258","202.7","2004-10",,,,,"0.0",",0","10",",0","10",",0","0",",0","0",",0","0",",0","5",",0","0",",0","8",",0","0",",0","-1.7",",0,06,+","0",",,0,31,+","0.0",",,0,31,+","26.2",",,0,19,","25.0",",0,30,+",,,"284.0","0",,,,,,,,,,,,,"225.3",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76.6",",,,0",,,"0",",,,0","11.1",",0","17.5",",,,0","4.6",",,,0",,,,,,,,,,,,
"USC00120200","ANGOLA, IN US","41.6639","-85.0183","310.9","2004-10",,,"227.4","0","0.0","2,0","8","1,0","6","1,0","0",",0","0",",0","0","2,0","6","2,0","0","1,0","6","1,0","0","1,0","-1.7","2,0,06,+","0",",,0,31,+","0.0",",,0,31,+","18.3","1,,0,24,","23.3","1,0,09,+",,,"336.5","0",,,,,,,,,,,,,"243.0","1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59.0","1,,,0",,,"0",",,,0","9.9","2,0","15.9","1,,,0","4.0","2,,,0",,,,,,,,,,,,
"USC00121256","CANNELTON, IN US","37.8994","-86.7072","122.5","2004-10",,,,,,,"11",",0","9",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","33.0",",,0,19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91.1",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00125337","MARION 2 N, IN US","40.58","-85.6586","240.8","2004-10",,,"324.4","0","0.0","2,0","12",",0","8",",0","0",",0","0",",0","0","2,0","1","2,0","0",",0","9",",0","0",",0","0.0","2,0,17,","0",",,0,31,+","0.0",",,0,31,+","31.0",",,0,18,","25.0",",0,29,+",,,"263.3","0",,,,,,,,,,,,,"206.9",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69.9",",,,0",,,"0",",,,0","11.4","2,0","17.7",",,,0","5.1","2,,,0",,,,,,,,,,,,
"USC00128967","J.T. MYERS LOCKS AND DAM, IN US","37.7952","-87.993","103.6","2004-10",,,,,"7.0","2,0","14",",0","8",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","21","1,0","0","1,0","2.2","1,0,03,","0",",,0,31,+","0.0",",,0,31,+","26.7",",,0,15,","29.4","1,0,30,",,,,,,,,,,,,,,,,,"68.4","1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117.3",",,,0",,,"0",",,,0","16.3","2,0","22.1","1,,,0","10.4","1,,,0",,,,,,,,,,,,
"USC00124249","INDIANAPOLIS EAGLE CREEK 4 NNE, IN US","39.90746","-86.28911","249.3","2004-10",,,,,,,"11",",0","9",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","20.3",",,0,19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94.2",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00125613","MIDDLETOWN 2 W, IN US","40.063","-85.5777","286.5","2004-10",,,,,,,"9",",0","6",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","18.8",",,0,13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.6",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00127999","SHELBYVILLE SEWAGE PLANT, IN US","39.5282","-85.7914","229.2","2004-10",,,"512.0","0","1.4","1,0","6",",0","6",",0","0",",0","0",",0","0","1,0","2","1,0","0",",0","13",",0","0",",0","0.0","1,0,17,+","0",",,0,31,+","0.0",",,0,31,+","41.9",",,0,19,","26.1",",0,30,+",,,"210.2","0",,,,,,,,,,,,,"178.7",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.0",",,,0",,,"0",",,,0","12.5","1,0","19.0",",,,0","5.9","1,,,0",,,,,,,,,,,,
"USC00124527","KENTLAND, IN US","40.75917","-87.43528","211.8","2004-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
