"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2006-10",,,,,,,"9",",0","4",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","43.7",",,0,17,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99.9",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2006-10",,,,,,,"9",",N","5",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","49.8",",,N,17,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123.6",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INFD0002","GALENA 4.3 ENE, IN US","38.380331","-85.870439","285.0","2006-10",,,,,,,"9","3,N","3","3,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","59.7","3,,N,17,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.4","1,a,,N",,,"0","3,,,N",,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2006-10",,,,,"10.6","4,0","12","1,0","8","1,0","0",",0","0",",0","0","3,0","6","3,0","0","2,0","11","2,0","1","2,0","-1.1","3,0,25,+","0",",,0,31,+","0.0",",,0,31,+","58.4","1,,0,17,","32.8","2,0,05,",,,,,"22.2","4,,,0,3,2","21.1","2,,,0,5,2",,,,,,,,,"200.2","2,0","26.7","4,,,0,3,2","23.9","2,,,0,5,2",,,,,,,,,"6.7","4,,,0,3,2","7.8","2,,,0,5,2",,,,,,,,,"10.0","4,,,0,3,2","11.1","2,,,0,5,2",,,,,,,,,"12.4","4,,,0,3,2","14.3","2,,,0,5,2",,,,,,,,,,,"17.6","4,,,0,3,2","17.5","2,,,0,5,2",,,,,,,,,,,"149.7","1,,,0",,,"0",",,,0","11.7","4,0","18.4","2,,,0","4.9","3,,,0",,,,,,,,,,,,
"USC00127755","SALEM, IN US","38.6157","-86.0855","239.3","2006-10",,,,,"17.7","1,0","9",",0","7",",0","0",",0","0",",0","0",",0","4",",0","0","1,0","11","1,0","0","1,0","-3.9",",0,15,","0",",,0,31,+","0.0",",,0,31,+","63.5",",,0,27,","30.0","1,0,06,+",,,"222.0","0",,,,,,,,,,,,,"180.6","1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153.4",",,,0",,,"0",",,,0","12.8","1,0","19.1","1,,,0","6.5",",,,0",,,,,,,,,,,,
"US1INML0001","BREMEN 2.0 WNW, IN US","41.453775","-86.192394","251.2","2006-10",,,,,,,"12","3,N","8","3,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","35.8","3,,N,17,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102.1","3,,,N",,,"0","4,,,N",,,,,,,,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2006-10",,,"413.9","0","4.2","3,0","12","2,0","8","2,0","0",",0","0",",0","0","3,0","4","3,0","0","1,0","5","1,0","0","1,0","-1.1","3,0,25,+","0",",,0,31,+","0.0",",T,0,13,","39.9","2,,0,03,","27.8","1,0,04,",,,"320.7","0",,,,,,,,,,,,,"250.4","1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.9",",a,,0",,,"0",",T,,0","9.8","3,0","14.5","1,,,0","5.0","3,,,0",,,,,,,,,,,,
"USC00127875","SCOTTSBURG, IN US","38.68861","-85.785","173.7","2006-10",,,,,,,"9",",0","6",",0","0",",0","0",",0",,,,,"0",",0","12",",0","0",",0",,,"0",",,0,31,+","0.0",",,0,31,+","50.8",",,0,16,","30.6",",0,04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118.2",",,,0",,,"0",",,,0",,,"17.9",",,,0",,,,,,,,,,,,,,
"USC00129138","WABASH, IN US","40.7917","-85.8258","202.7","2006-10",,,,,"4.5","1,0","16","2,0","7","2,0","0",",0","0",",0","0","1,0","9","1,0","0","1,0","10","1,0","0","1,0","-4.4","1,0,26,","0",",,0,31,+","0.0",",,0,31,+","42.7","2,,0,17,","28.3","1,0,04,",,,,,,,,,,,,,,,,,"238.6","1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126.3","2,,,0",,,"0",",,,0","10.5","1,0","17.0","1,,,0","4.1","1,,,0",,,,,,,,,,,,
"USC00120200","ANGOLA, IN US","41.6639","-85.0183","310.9","2006-10",,,"285.8","0","0.6",",0","15",",0","10",",0","0",",0","0",",0","0",",0","10",",0","0",",0","5",",0","0",",0","-3.9",",0,26,","0",",,0,31,+","0.0",",T,0,24,+","36.3",",,0,17,","25.6",",0,04,",,,"423.1","0",,,,,,,,,,,,,"314.5",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110.8",",,,0",,,"0",",T,,0","8.2",",0","13.6",",,,0","2.9",",,,0",,,,,,,,,,,,
