"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"US1INHW0013","KOKOMO 4.4 E, IN US","40.466761","-86.051037","253.0","2012-10",,,,,,,"12","5,N","11","5,N",,,,,,,,,,,,,,,,,,,,,"21.3","5,,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100.9","5,,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INMD0018","ANDERSON 2.0 E, IN US","40.095273","-85.649657","263.0","2012-10",,,,,,,"10","4,N","5","4,N",,,,,,,,,,,,,,,,,,,,,"31.5","4,,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133.8",",a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INHW0016","KOKOMO 7.2 WNW, IN US","40.51853314","-86.25774186","247.2","2012-10",,,,,,,"14","1,N","12","1,N","0","2,N","0","2,N",,,,,,,,,,,,,"0","2,,N,31,+","0.0","2,,N,31,+","16.0","1,,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104.7","1,,,N",,,"0","2,,,N",,,,,,,,,,,,,,,,,,
"USW00063898","BEDFORD 5 WNW, IN US","38.8882","-86.5707","231.6","2012-10",,,"754.6","R","9.3",",R","8",",R","6",",R",,,,,"0",",R","2",",R","0",",R","10",",R","0",",R","-0.9",",R,11,",,,,,"36.5",",,R,05,","26.1",",R,24,",,,"260.1","R",,,,,,,,,"206.0",",R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89.9",",,,R",,,,,"12.0",",R","17.1",",,,R","6.9",",,,R",,,,,,,,,,,,
"US1INSN0005","HAMILTON 1.7 E, IN US","41.532404","-84.885299","277.1","2012-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70.2",",a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INCK0023","JEFFERSONVILLE 0.4 SE, IN US","38.297265","-85.71975","142.0","2012-10",,,,,,,"7",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"23.9",",,N,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.8",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INSN0007","ANGOLA 8.7 ESE, IN US","41.607934","-84.837635","301.1","2012-10",,,,,,,"22",",N","9",",N",,,,,,,,,,,,,,,,,,,,,"22.9",",,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.9",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INSN0009","ANGOLA 4.1 N, IN US","41.701001","-84.986686","328.0","2012-10",,,,,,,"17","3,N","12","3,N",,,,,,,,,,,,,,,,,,,,,"19.8","3,,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95.1","1,a,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00121187","BUTLER 1 SE, IN US","41.4083","-84.8536","259.1","2012-10",,,,,,,"17",",7","8",",7",,,,,,,,,,,,,,,,,,,,,"24.9",",,7,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.4",",,,7",,,,,,,,,,,,,,,,,,,,,,
"US1INCK0027","JEFFERSONVILLE 1.6 ENE, IN US","38.2947089","-85.6981845","142.6","2012-10",,,,,,,"7","5,N","3","5,N","0","5,N","0","4,N",,,,,,,,,,,,,"0","5,,N,31,+","0.0","4,,N,31,+","25.4","5,,N,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.1","5,,,N",,,"0","4,,,N",,,,,,,,,,,,,,,,,,
