"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2014-10",,,"366.6","7","4.2",",7","18",",7","9",",7","0",",7","0",",7","0",",7","3",",7","0",",7","5",",7","0",",7","-0.6",",7,24,+","0",",,7,31,+","0.0",",,7,31,+","17.3",",,7,08,","26.7",",7,03,",,,"322.4","7",,,,,,,,,"217.4",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87.8",",,,7",,,"0",",,,7","11.5",",7","17.0",",,,7","5.9",",,,7",,,,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2014-10",,,,,,,"20",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"57.9",",,N,03,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100.4",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2014-10",,,,,,,"15",",N","8",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",T,N,05,","21.6",",,N,03,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81.8",",,,N",,,"0",",T,,N",,,,,,,,,,,,,,,,,,
"US1INFD0002","GALENA 4.3 ENE, IN US","38.380331","-85.870439","285.0","2014-10",,,,,,,"14",",N","10",",N",,,,,,,,,,,,,,,,,,,,,"33.3",",,N,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129.1",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2014-10",,,,,"4.8",",7","14",",7","8",",7","0",",7","0",",7","0",",7","1",",7","0",",7","10",",7","0",",7","0.0",",7,31,","0",",,7,31,+","0.0",",,7,31,+","70.9",",,7,03,","29.4",",7,03,",,,,,"21.7","1,,,7,3,2","21.1","3,,,7,5,2",,,,,"176.0",",7","23.3","1,,,7,3,2","22.2","3,,,7,5,2",,,,,"16.7","1,,,7,3,2","17.2","3,,,7,5,2",,,,,"17.8","1,,,7,3,2","18.3","3,,,7,5,2",,,,,"18.8","1,,,7,3,2","19.4","3,,,7,5,2",,,,,,,"20.3","1,,,7,3,2","20.4","3,,,7,5,2",,,,,,,"193.1",",,,7",,,"0",",,,7","12.8",",7","18.6",",,,7","7.0",",,,7",,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2014-10",,,"344.1","7","0.3","1,7","17",",7","9",",7","0",",7","0",",7","0",",7","0",",7","0","1,7","3","1,7","0","1,7","1.1",",7,30,+","0",",,7,31,+","0.0",",,7,31,+","49.3",",,7,03,","24.4","1,7,28,",,,"315.9","7",,,,,,,,,"218.1","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108.9",",,,7",,,"0",",,,7","11.0","1,7","15.3","1,,,7","6.6",",,,7",,,,,,,,,,,,
"US1INGB0009","FRANCISCO 0.1 SE, IN US","38.332965","-87.447337","139.3","2014-10",,,,,,,"16",",N","10",",N",,,,,,,,,,,,,,,,,,,,,"35.3",",,N,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"168.4",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00125337","MARION 2 N, IN US","40.58","-85.6586","240.8","2014-10",,,"339.3","7","3.3",",7","15",",7","7",",7","0",",7","0",",7","0",",7","2",",7","0",",7","5",",7","0",",7","-0.6",",7,24,+","0",",,7,31,+","0.0",",,7,31,+","40.6",",,7,04,","25.6",",7,28,+",,,"325.5","7",,,,,,,,,"225.6",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96.5",",,,7",,,"0",",,,7","11.2",",7","16.8",",,,7","5.5",",,,7",,,,,,,,,,,,
"USC00124249","INDIANAPOLIS EAGLE CREEK 4 NNE, IN US","39.90746","-86.28911","249.3","2014-10",,,,,,,,,,,"0",",7","0",",7",,,,,,,,,,,,,"0",",,7,31,+","0.0",",,7,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",",,,7",,,,,,,,,,,,,,,,,,
"USC00127999","SHELBYVILLE SEWAGE PLANT, IN US","39.5282","-85.7914","229.2","2014-10",,,"417.3","7","7.7",",7","17",",7","9",",7","0",",7","0",",7","0",",7","0",",7","0",",7","7",",7","0",",7","0.6",",7,24,+","0",",,7,31,+","0.0",",,7,31,+","22.6",",,7,14,","29.4",",7,03,",,,"265.2","7",,,,,,,,,"193.8",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92.9",",,,7",,,"0",",,,7","12.3",",7","17.8",",,,7","6.8",",,,7",,,,,,,,,,,,
