"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2016-10",,,"503.3","7","11.3",",7","8",",7","6",",7","0",",7","0",",7","0",",7","0",",7","0",",7","13",",7","0",",7","1.1",",7,26,+","0",",,7,31,+","0.0",",,7,31,+","24.1",",,7,01,","28.9",",7,07,",,,"162.7","7",,,,,,,,,"144.3",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72.0",",,,7","0",",,,7","14.1",",7","19.8",",,,7","8.3",",,,7",,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2016-10",,,,,,,"11",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"11.2",",,N,17,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.3",",,,N",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2016-10",,,,,,,"5","2,N","3","2,N",,,,,,,,,,,,,,,,,,,,,"53.8","2,,N,20,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86.4","2,,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2016-10",,,,,,,"12",",N","7",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,31,+","21.1",",,N,01,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85.3",",,,N","0","1,,,N",,,,,,,,,,,,,,,,
"US1INFD0002","GALENA 4.3 ENE, IN US","38.380331","-85.870439","285.0","2016-10",,,,,,,"8",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"9.7",",,N,21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.4",",,,N",,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2016-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2016-10",,,"578.1","7","14.4",",7","16",",7","8",",7","0",",7","0",",7","0",",7","0",",7","0",",7","11",",7","0",",7","3.3",",7,25,","0",",,7,31,+","0.0",",,7,31,+","35.3",",,7,01,","27.8",",7,18,",,,"141.8","7",,,,,,,,,"127.3",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.5",",,,7","0",",,,7","14.7",",7","18.8",",,,7","10.6",",,,7",,,,,,,,,,
"US1INGB0009","FRANCISCO 0.1 SE, IN US","38.332965","-87.447337","139.3","2016-10",,,,,,,"3","4,N","2","4,N",,,,,,,,,,,,,,,,,,,,,"8.9","4,,N,20,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.3","4,,,N",,,,,,,,,,,,,,,,,,
"USC00125337","MARION 2 N, IN US","40.58","-85.6586","240.8","2016-10",,,,,"13.1",",7","8",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","13",",7","0",",7","2.2",",7,25,","0",",,7,31,+","0.0",",,7,31,+","24.6",",,7,20,","28.9",",7,08,+",,,"158.2","7",,,,,,,,,"140.4",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77.2",",,,7","0",",,,7","14.2",",7","19.8",",,,7","8.6",",,,7",,,,,,,,,,
"USC00127999","SHELBYVILLE SEWAGE PLANT, IN US","39.5282","-85.7914","229.2","2016-10",,,"606.1","7","19.4",",7","5",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","18",",7","0",",7","2.8",",7,23,","0",",,7,31,+","0.0",",,7,31,+","36.8",",,7,20,","28.9",",7,07,",,,"126.2","7",,,,,,,,,"109.8",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.8",",,,7","0",",,,7","15.4",",7","21.6",",,,7","9.2",",,,7",,,,,,,,,,
