"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2018-10",,,"542.5","7","22.5",",7","14",",7","11",",7","0",",7","0",",7","0",",7","9",",7","0",",7","9",",7","0",",7","-2.2",",7,18,","0",",,7,31,+","0.0",",,7,31,+","42.7",",,7,05,","30.0",",7,08,+",,,"295.4","7",,,,,,,,,"250.1",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117.9",",,,7","0",",,,7","11.0",",7","16.6",",,,7","5.3",",,,7",,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2018-10",,,,,,,"13",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"35.1",",,N,07,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105.8",",,,N",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2018-10",,,,,,,"10","1,N","3","1,N",,,,,,,,,,,,,,,,,,,,,"8.4","1,,N,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.8","1,,,N",,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2018-10",,,,,,,"11",",N","7",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",T,N,21,","55.6",",,N,07,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146.9",",,,N","0",",T,,N",,,,,,,,,,,,,,,,
"US1INFD0002","GALENA 4.3 ENE, IN US","38.380331","-85.870439","285.0","2018-10",,,,,,,"9",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"17.0",",,N,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.6",",,,N",,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2018-10",,,,,"47.3","4,7","13","5,7","7","5,7","0","3,7","0","3,7","0","4,7","4","4,7","0","3,7","12","3,7","4","3,7","-1.1","4,7,19,+","0","3,,7,31,+","0.0","3,,7,31,+","25.4","5,,7,11,","32.8","3,7,07,",,,,,"25.6","5,,,7,3,2","24.4","5,,,7,5,2",,,,,"155.4","3,7","29.4","5,,,7,5,2",,,,,,,"7.2","5,,,7,3,2","12.2","5,,,7,5,2",,,,,"13.9","5,,,7,5,2",,,,,,,"17.3","5,,,7,3,2","17.8","5,,,7,5,2",,,,,,,"19.5","5,,,7,5,2",,,,,,,,,"78.0",",a,,7","0","3,,,7","14.2","4,7","21.2","3,,,7","7.1","4,,,7",,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2018-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82.1","2,a,,7",,,,,,,,,,,,,,,,,,
"US1INGB0009","FRANCISCO 0.1 SE, IN US","38.332965","-87.447337","139.3","2018-10",,,,,,,"10",",N","7",",N",,,,,,,,,,,,,,,,,,,,,"9.1",",,N,11,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.6",",,,N",,,,,,,,,,,,,,,,,,
"USC00125337","MARION 2 N, IN US","40.58","-85.6586","240.8","2018-10",,,,,"29.2","1,7","13",",7","9",",7","0",",7","0",",7","0","1,7","8","1,7","0","1,7","10","1,7","0","1,7","-1.7","1,7,25,+","0",",,7,31,+","0.0",",,7,31,+","25.7",",,7,06,","30.6","1,7,09,",,,"270.1","7",,,,,,,,,"232.2","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.6",",,,7","0",",,,7","11.6","1,7","17.2","1,,,7","5.9","1,,,7",,,,,,,,,,
"USC00127999","SHELBYVILLE SEWAGE PLANT, IN US","39.5282","-85.7914","229.2","2018-10",,,"745.1","7","50.0",",7","9",",7","5",",7","0",",7","0",",7","0",",7","6",",7","0",",7","11",",7","0",",7","-2.2",",7,27,+","0",",,7,31,+","0.0",",,7,31,+","6.9",",,7,27,","31.1",",7,10,",,,"239.7","7",,,,,,,,,"212.8",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.7",",,,7","0",",,,7","13.1",",7","19.1",",,,7","7.0",",,,7",,,,,,,,,,
