"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2010-10",,,,,,,"4",",0","2",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","18.8",",,0,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.0",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2010-10",,,"526.1","0","6.9",",0","4",",0","3",",0","0",",0","0",",0","0",",0","7",",0","0",",0","15",",0","0",",0","-2.8",",0,23,","0",",,0,31,+","0.0",",,0,31,+","11.7",",,0,27,","29.4",",0,11,+",,,"254.4","0",,,,,,,,,,,,,"199.6",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.1",",,,0",,,"0",",,,0","12.1",",0","20.0",",,,0","4.3",",,,0",,,,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2010-10",,,,,,,"4","1,N","4","1,N",,,,,,,,,,,,,,,,,,,,,"6.4","1,,N,27,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.9","1,,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2010-10",,,,,,,"4",",N","4",",N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","23.1",",,N,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.0",",,,N",,,"0","5,,,N",,,,,,,,,,,,,,,,,,
"US1INOH0002","RISING SUN 4.1 WSW, IN US","38.937194","-84.931548","168.9","2010-10",,,,,,,"3","4,N","2","4,N",,,,,,,,,,,,,,,,,,,,,"26.7","4,,N,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.1","4,,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INML0006","PLYMOUTH 2.5 WSW, IN US","41.329704","-86.356804","248.1","2010-10",,,,,,,"6",",N","3",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","8.6",",,N,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.4",",,,N",,,"0",",,,N",,,,,,,,,,,,,,,,,,
"US1INML0003","PLYMOUTH 1.1 SSE, IN US","41.331903","-86.307406","259.1","2010-10",,,,,,,"5","1,N","2","1,N","0","2,N","0","1,N",,,,,,,,,,,,,"0","2,,N,31,+","0.0","1,,N,31,+","7.9","1,,N,25,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.3","1,,,N",,,"0","1,,,N",,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2010-10",,,,,"14.8","2,0","5",",0","3",",0","0",",0","0",",0","0","2,0","3","2,0","0","1,0","23","1,0","1","1,0","-2.8","2,0,30,+","0",",,0,31,+","0.0",",,0,31,+","7.4",",,0,27,","32.2","1,0,11,",,,"138.9","0","17.8","2,,,0,3,2","17.8","2,,,0,5,2",,,,,,,,,"126.7","1,0","25.6","2,,,0,3,2","21.7","2,,,0,5,2",,,,,,,,,"4.4","2,,,0,3,2","8.3","2,,,0,5,2",,,,,,,,,"10.0","2,,,0,3,2","11.7","2,,,0,5,2",,,,,,,,,"11.7","2,,,0,3,2","14.0","2,,,0,5,2",,,,,,,,,,,"19.5","2,,,0,3,2","16.6","2,,,0,5,2",,,,,,,,,,,"20.1",",,,0",,,"0",",,,0","14.5","2,0","23.7","1,,,0","5.3","2,,,0",,,,,,,,,,,,
"US1INFD0004","NEW ALBANY 4.4 NNE, IN US","38.36412","-85.798177","152.1","2010-10",,,,,,,"5","2,N","2","2,N",,,,,,,,,,,,,,,,,,,,,"21.3","2,,N,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.9","2,,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2010-10",,,"576.0","0","7.2",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","0.6",",0,22,","0",",,0,31,+","0.0",",,0,31,+","15.7",",,0,25,","30.6",",0,10,",,,"221.3","0",,,,,,,,,,,,,"166.3",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40.8",",,,0",,,"0",",,,0","13.2",",0","18.8",",,,0","7.6",",,,0",,,,,,,,,,,,
"US1INGB0009","FRANCISCO 0.1 SE, IN US","38.332965","-87.447337","139.3","2010-10",,,,,,,"6",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"14.7",",,N,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.7",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00125337","MARION 2 N, IN US","40.58","-85.6586","240.8","2010-10",,,"575.4","0","3.4",",0","6",",0","4",",0","0",",0","0",",0","0",",0","4",",0","0",",0","13",",0","0",",0","-0.6",",0,23,+","0",",,0,31,+","0.0",",,0,31,+","24.1",",,0,14,","29.4",",0,11,",,,"240.1","0",,,,,,,,,,,,,"190.3",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.0",",,,0",,,"0",",,,0","12.3",",0","19.5",",,,0","5.1",",,,0",,,,,,,,,,,,
"USC00128967","J.T. MYERS LOCKS AND DAM, IN US","37.7952","-87.993","103.6","2010-10",,,"1102.0","0","21.9",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","1",",0","1.1",",0,29,","0",",,0,31,+","0.0",",,0,31,+","17.8",",,0,27,","32.2",",0,10,",,,"85.6","0",,,,,,,,,,,,,"82.0",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.5",",,,0",,,"0",",,,0","16.4",",0","23.6",",,,0","9.2",",,,0",,,,,,,,,,,,
"USC00124249","INDIANAPOLIS EAGLE CREEK 4 NNE, IN US","39.90746","-86.28911","249.3","2010-10",,,,,,,"4","2,0","3","2,0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","16.3","2,,0,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.9","2,,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00127999","SHELBYVILLE SEWAGE PLANT, IN US","39.5282","-85.7914","229.2","2010-10",,,"662.4","0","3.9",",0","4",",0","3",",0","0",",0","0",",0","0",",0","3",",0","0",",0","17",",0","0",",0","-0.6",",0,23,+","0",",,0,31,+","0.0",",,0,31,+","16.8",",,0,27,","30.0",",0,11,",,,"192.8","0",,,,,,,,,,,,,"166.6",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.0",",,,0",,,"0",",,,0","13.1",",0","21.0",",,,0","5.2",",,,0",,,,,,,,,,,,
"US1INGB0008","HAZLETON 2.5 S, IN US","38.45263","-87.5336","145.4","2010-10",,,,,,,"6","1,N","2","1,N",,,,,,,,,,,,,,,,,,,,,"15.0","1,,N,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.2","1,,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INBL0007","HARTFORD CITY 4.8 NW, IN US","40.5069","-85.4275","270.1","2010-10",,,,,,,"6",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"29.5",",,N,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.3",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INWN0002","RICHMOND 0.9 SE, IN US","39.820729","-84.872677","315.2","2010-10",,,,,,,"5","5,N","4","5,N",,,,,,,,,,,,,,,,,,,,,"10.7","5,,N,27,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.1","5,,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INJS0045","DE MOTTE 1.2 SSW, IN US","41.1842329","-87.2098597","203.0","2010-10",,,,,,,"7",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"10.4",",,N,24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.7",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00124372","JASPER, IN US","38.3856","-86.9406","137.2","2010-10",,,,,,,"4",",0","3",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","17.5",",,0,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.3",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"US1INOW0011","SPENCER 6.5 SE, IN US","39.2292","-86.688009","258.8","2010-10",,,,,,,"3",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"13.0",",,N,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.9",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00127646","RUSHVILLE, IN US","39.6042","-85.4532","289.0","2010-10",,,"638.0","0","6.1",",0","4",",0","3",",0","0",",0","0",",0","0",",0","4",",0","0",",0","16",",0","0",",0","-1.7",",0,30,","0",",,0,31,+","0.0",",,0,31,+","14.5",",,0,14,","29.4",",0,11,",,,"200.9","0",,,,,,,,,,,,,"167.9",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32.8",",,,0",,,"0",",,,0","13.1",",0","20.6",",,,0","5.7",",,,0",,,,,,,,,,,,
"USC00126435","NORTH VERNON 2 ESE, IN US","39.00098","-85.59956","219.2","2010-10",,,"800.4","0","5.6",",0","7",",0","4",",0","0",",0","0",",0","0",",0","4",",0","0",",0","21",",0","0",",0","-2.2",",0,30,","0",",,0,31,+","0.0",",,0,31,+","16.5",",,0,26,","30.6",",0,11,+",,,"141.1","0",,,,,,,,,,,,,"126.2",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.7",",,,0",,,"0",",,,0","14.4",",0","22.8",",,,0","6.1",",,,0",,,,,,,,,,,,
"US1INJS0047","REMINGTON 0.3 N, IN US","40.766648","-87.151963","223.7","2010-10",,,,,,,"7",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"10.2",",,N,25,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.1",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USC00127522","ROCKVILLE, IN US","39.7594","-87.2269","210.0","2010-10",,,"806.6","0","11.8",",0","3",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","21",",0","0",",0","-1.1",",0,29,+","0",",,0,31,+","0.0",",,0,31,+","9.7",",,0,26,","30.6",",0,10,+",,,"140.8","0",,,,,,,,,,,,,"126.6",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.4",",,,0",,,"0",",,,0","14.6",",0","22.7",",,,0","6.5",",,,0",,,,,,,,,,,,
