"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2003-10",,,,,,,"5",",0","4",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","64.8",",,0,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101.2",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00128442","STENDAL, IN US","38.26714","-87.14299","198.1","2003-10",,,,,"7.5",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","1.7",",0,27,+","0",",,0,31,+","0.0",",,0,31,+","14.5",",,0,26,","26.7",",0,21,+",,,,,,,,,,,,,,,,,"147.7",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.4",",,,0",,,"0",",,,0","13.8",",0","20.2",",,,0","7.4",",,,0",,,,,,,,,,,,
"USC00126023","MUNCIE, IN US","40.1825","-85.3497","294.4","2003-10",,,,,,,"6",",0","4",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","19.8",",,0,15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.2",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00125055","LIGONIER 2 S, IN US","41.43111","-85.58972","282.2","2003-10",,,,,,,"9",",0","5",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","25.1",",,0,15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.2",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00124642","KNIGHTSTOWN 2 ENE, IN US","39.8075","-85.4877","303.9","2003-10",,,,,,,"9",",0","6",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","45.2",",,0,15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96.5",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2003-10",,,,,"5.1","5,0","5","4,0","0","4,0","0","2,0","0","2,0","0","5,0","4","5,0","0","2,0","14","2,0","0","2,0","-7.2","5,0,27,","0","2,,0,31,+","0.0","2,,0,31,+","1.8","4,,0,28,","28.9","2,0,21,",,,"211.1","0","16.7","2,,,0,3,2","16.1","2,,,0,5,2",,,,,,,,,"165.1","2,0","22.2","2,,,0,3,2","18.9","2,,,0,5,2",,,,,,,,,"7.2","2,,,0,3,2","8.9","2,,,0,5,2",,,,,,,,,"10.6","2,,,0,3,2","11.1","2,,,0,5,2",,,,,,,,,"11.0","2,,,0,3,2","11.9","2,,,0,5,2",,,,,,,,,,,"16.8","2,,,0,3,2","15.5","2,,,0,5,2",,,,,,,,,,,"53.7",",a,,0",,,"0","2,,,0","12.3","5,0","20.2","2,,,0","4.3","5,,,0",,,,,,,,,,,,
"USC00127755","SALEM, IN US","38.6157","-86.0855","239.3","2003-10",,,,,"3.3",",0","6",",0","4",",0","0",",0","0",",0","0",",0","2",",0","0",",0","17",",0","0",",0","-1.7",",0,03,","0",",,0,31,+","0.0",",,0,31,+","34.3",",,0,26,","26.1",",0,20,+",,,"193.3","0",,,,,,,,,,,,,"152.1",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.3",",,,0",,,"0",",,,0","13.5",",0","20.4",",,,0","6.6",",,,0",,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2003-10",,,,,"3.1",",0","9",",0","6",",0","0",",0","0",",0","0",",0","1",",0","0",",0","7",",0","0",",0","0.0",",0,03,","0",",,0,31,+","0.0",",,0,31,+","25.9",",,0,15,","26.7",",0,09,",,,"305.9","0",,,,,,,,,,,,,"235.9",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.4",",,,0",,,"0",",,,0","10.8",",0","16.1",",,,0","5.5",",,,0",,,,,,,,,,,,
"USC00127875","SCOTTSBURG, IN US","38.68861","-85.785","173.7","2003-10",,,"420.0","0","1.1","4,0","7",",0","6",",0","0",",0","0",",0","0","4,0","3","4,0","0",",0","17",",0","0",",0","-0.6","4,0,02,","0",",,0,31,+","0.0",",,0,31,+","54.6",",,0,25,","26.1",",0,21,+",,,"203.3","0",,,,,,,,,,,,,"148.8",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88.6",",,,0",,,"0",",,,0","12.9","4,0","20.1",",,,0","5.7","4,,,0",,,,,,,,,,,,
"USC00129138","WABASH, IN US","40.7917","-85.8258","202.7","2003-10",,,,,"3.9","2,0","7",",0","6",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","10","1,0","0","1,0","3.9","1,0,03,+","0",",,0,31,+","0.0",",,0,31,+","32.5",",,0,15,","28.3","1,0,09,",,,"176.2","0",,,,,,,,,,,,,"146.5","1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63.2",",,,0",,,"0",",,,0","13.6","2,0","19.7","1,,,0","7.4","1,,,0",,,,,,,,,,,,
"USC00120200","ANGOLA, IN US","41.6639","-85.0183","310.9","2003-10",,,"227.9","0","0.0",",0","9",",0","4",",0","0",",0","0",",0","0",",0","9",",0","0",",0","7",",0","0",",0","-2.2",",0,18,+","0",",,0,31,+","0.0",",,0,31,+","41.1",",,0,15,","25.6",",0,21,",,,"396.9","0",,,,,,,,,,,,,"298.3",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71.4",",,,0",,,"0",",,,0","8.7",",0","14.7",",,,0","2.7",",,,0",,,,,,,,,,,,
"USC00121256","CANNELTON, IN US","37.8994","-86.7072","122.5","2003-10",,,,,,,"10",",0","8",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","61.0",",,0,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130.5",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00125337","MARION 2 N, IN US","40.58","-85.6586","240.8","2003-10",,,,,"0.0",",0","8",",0","4",",0","0",",0","0",",0","0",",0","8",",0","0",",0","8",",0","0",",0","-2.2",",0,02,","0",",,0,31,+","0.0",",,0,31,+","22.9",",,0,14,","26.1",",0,11,",,,"336.5","0",,,,,,,,,,,,,"260.2",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49.5",",,,0",,,"0",",,,0","9.9",",0","16.2",",,,0","3.7",",,,0",,,,,,,,,,,,
"USC00128967","J.T. MYERS LOCKS AND DAM, IN US","37.7952","-87.993","103.6","2003-10",,,,,,,"8",",0","6",",0","0",",0","0",",0",,,,,"0",",0","19",",0","0",",0",,,"0",",,0,31,+","0.0",",,0,31,+","18.3",",,0,10,","29.4",",0,08,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59.2",",,,0",,,"0",",,,0",,,"21.1",",,,0",,,,,,,,,,,,,,
"USC00124249","INDIANAPOLIS EAGLE CREEK 4 NNE, IN US","39.90746","-86.28911","249.3","2003-10",,,,,,,"6","1,0","3","1,0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","28.4","1,,0,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.8","1,,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00125613","MIDDLETOWN 2 W, IN US","40.063","-85.5777","286.5","2003-10",,,,,,,"7",",0","5",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","20.3",",,0,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.4",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00127999","SHELBYVILLE SEWAGE PLANT, IN US","39.5282","-85.7914","229.2","2003-10",,,"413.8","0","2.8",",0","4",",0","4",",0","0",",0","0",",0","0",",0","1",",0","0",",0","11",",0","0",",0","0.0",",0,02,","0",",,0,31,+","0.0",",,0,31,+","26.7",",,0,26,","26.7",",0,22,+",,,"241.0","0",,,,,,,,,,,,,"187.4",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.9",",,,0",,,"0",",,,0","12.4",",0","18.7",",,,0","6.1",",,,0",,,,,,,,,,,,
"USC00124527","KENTLAND, IN US","40.75917","-87.43528","211.8","2003-10",,,,,"1.1","4,0","6","5,0","5","5,0","0","3,0","0","3,0","0","4,0","7","4,0","0","4,0","9","4,0","0","4,0","-3.9","4,0,02,","0","3,,0,31,+","0.0","3,,0,31,+","15.2","5,,0,25,","28.9","4,0,21,",,,,,"12.2","4,,,0,3,2","12.2","4,,,0,5,2",,,,,,,,,"213.3","4,0","14.4","4,,,0,3,2","15.0","4,,,0,5,2",,,,,,,,,"2.8","4,,,0,3,2","6.1","4,,,0,5,2",,,,,,,,,"5.6","4,,,0,3,2","6.7","4,,,0,5,2",,,,,,,,,"6.3","4,,,0,3,2","9.2","4,,,0,5,2",,,,,,,,,,,"10.2","4,,,0,3,2","11.2","4,,,0,5,2",,,,,,,,,,,"49.7","3,a,,0",,,"0","3,,,0","10.5","4,0","18.3","4,,,0","2.7","4,,,0",,,,,,,,,,,,
"USC00126705","PAOLI, IN US","38.5555","-86.4858","170.7","2003-10",,,"470.2","0","1.4","3,0","8",",0","6",",0","0",",0","0",",0","0","3,0","2","3,0","0",",0","15",",0","0",",0","-1.1","3,0,03,","0",",,0,31,+","0.0",",,0,31,+","33.0",",,0,26,","26.1",",0,21,",,,"214.6","0",,,,,,,,,,,,,"165.9",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.3",",,,0",,,"0",",,,0","12.4","3,0","19.6",",,,0","5.3","3,,,0",,,,,,,,,,,,
"USC00121417","CHALMERS 5 W, IN US","40.6653","-86.955","219.5","2003-10",,,,,,,"8",",0","4",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","11.2",",,0,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.4",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00121814","CORYDON, IN US","38.218","-86.1183","217.9","2003-10",,,,,,,"7",",0","5",",0",,,,,,,,,,,,,,,,,,,,,"41.9",",,0,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.5",",,,0",,,,,,,,,,,,,,,,,,,,,,
"USC00128290","SPENCER, IN US","39.28385","-86.77048","167.3","2003-10",,,"381.4","0","0.0","1,0","7",",0","5",",0","0",",0","0",",0","0","1,0","7","1,0","0",",0","11",",0","0",",0","-1.1","1,0,04,","0",",,0,31,+","0.0",",,0,31,+","21.8",",,0,15,","26.1",",0,21,+",,,"274.3","0",,,,,,,,,,,,,"216.9",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70.4",",,,0",,,"0",",,,0","11.2","1,0","18.5",",,,0","3.9","1,,,0",,,,,,,,,,,,
