"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2005-10",,,,,,,"5",",0","4",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","12.4",",,0,23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.9",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00128442","STENDAL, IN US","38.26714","-87.14299","198.1","2005-10",,,"845.6",,"32.0","1,0","4",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","16",",0","1",",0","1.1","1,0,30,+","0",",,0,31,+","0.0",",,0,31,+","12.2",",,0,21,","36.7",",0,05,",,,"135.5",,,,,,,,,,,,,,"129.6",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.1",",,,0",,,"0",",,,0","15.0","1,0","21.1",",,,0","8.9","1,,,0",,,,,,,,,,,,
"USC00126023","MUNCIE, IN US","40.1825","-85.3497","294.4","2005-10",,,,,,,"5",",0","3",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","25.1",",,0,24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.6",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00124642","KNIGHTSTOWN 2 ENE, IN US","39.8075","-85.4877","303.9","2005-10",,,,,,,"5",",0","3",",0","0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+","34.5",",,0,22,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.9",",,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00128723","TERRE HAUTE INDIANA STATE, IN US","39.4708","-87.408","154.5","2005-10",,,"744.4","0","20.2","2,0","5","1,0","2","1,0","0","1,0","0","1,0","0","2,0","4","2,0","0","1,0","14","1,0","1","1,0","-3.3","2,0,30,+","0","1,,0,31,+","0.0","1,,0,31,+","18.3","1,,0,21,","32.2","1,0,05,",,,"180.6","0","20.6","1,,,0,3,2","22.2","1,,,0,5,2",,,,,,,,,"168.7","1,0","29.4","1,,,0,3,2","25.6","1,,,0,5,2",,,,,,,,,"7.2","1,,,0,3,2","11.1","1,,,0,5,2",,,,,,,,,"12.8","1,,,0,3,2","13.9","1,,,0,5,2",,,,,,,,,"14.0","1,,,0,3,2","16.6","1,,,0,5,2",,,,,,,,,,,"21.3","1,,,0,3,2","19.2","1,,,0,5,2",,,,,,,,,,,"31.8","1,,,0",,,"0","1,,,0","13.3","2,0","20.9","1,,,0","5.7","2,,,0",,,,,,,,,,,,
"USC00127755","SALEM, IN US","38.6157","-86.0855","239.3","2005-10",,,,,"16.9",",0","7",",0","3",",0","0","1,0","0",",0","0",",0","4",",0","0",",0","16",",0","0",",0","-3.3",",0,29,","0","1,,0,31,+","0.0",",,0,31,+","15.2",",,0,21,","30.6",",0,19,",,,,,,,,,,,,,,,,,"149.1",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.6",",,,0",,,"0",",,,0","14.1",",0","20.9",",,,0","7.3",",,,0",,,,,,,,,,,,
"USC00124244","INDIANA DUNES NATIONAL PARK, IN US","41.63178","-87.08803","208.2","2005-10",,,"577.8","0","22.2",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","0.6",",0,29,","0",",,0,31,+","0.0",",,0,31,+","6.4",",,0,26,","30.6",",0,05,",,,"218.2","0",,,,,,,,,,,,,"190.5",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.6",",,,0",,,"0",",,,0","12.9",",0","17.4",",,,0","8.5",",,,0",,,,,,,,,,,,
"USC00127875","SCOTTSBURG, IN US","38.68861","-85.785","173.7","2005-10",,,,,"16.7","4,0","6","2,0","2","2,0","0",",0","0",",0","0","4,0","4","4,0","0","1,0","14","1,0","0","1,0","-3.9","4,0,28,","0",",,0,31,+","0.0",",,0,31,+","7.1","2,,0,22,","31.1","1,0,06,+",,,"144.8","0",,,,,,,,,,,,,"142.0","1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.0",",a,,0",,,"0",",,,0","13.4","4,0","20.1","1,,,0","6.7","4,,,0",,,,,,,,,,,,
"USC00129138","WABASH, IN US","40.7917","-85.8258","202.7","2005-10",,,,,,,,,,,"0",",0","0",",0",,,,,,,,,,,,,"0",",,0,31,+","0.0",",,0,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.1","1,a,,0",,,"0",",,,0",,,,,,,,,,,,,,,,,,
"USC00120200","ANGOLA, IN US","41.6639","-85.0183","310.9","2005-10",,,"422.2","0","8.8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","8",",0","0",",0","6",",0","0",",0","-3.9",",0,30,+","0",",,0,31,+","0.0",",,0,31,+","3.6",",,0,21,","28.3",",0,05,+",,,"284.4","0",,,,,,,,,,,,,"245.9",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.0",",,,0",,,"0",",,,0","10.7",",0","16.6",",,,0","4.8",",,,0",,,,,,,,,,,,
