"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2023-04",,,"2.5","H","2.5",",7","16",",7","7",",7","0",",7","0",",7","0",",7","10",",7","0",",7","10",",7","0",",7","-4.4",",7,01,","0",",,7,30,+","0.0",",,7,30,+","11.2",",,7,28,+","28.3",",7,20,",,,"3041.5","H",,,,,,,"247.9",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.6",",,,7","0",",,,7","10.1",",7","17.4",",,,7","2.9",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2023-05",,,"27.3","H","24.8",",7","9",",7","6",",7","0",",7","0",",7","0",",7","0",",7","0",",7","22",",7","1",",7","1.7",",7,01,","0",",,7,31,+","0.0",",,7,31,+","21.6",",,7,08,","32.2",",7,31,",,,"3134.9","H",,,,,,,"93.4",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72.2",",,,7","0",",,,7","16.1",",7","23.0",",,,7","9.2",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2023-06",,,"97.9","H","70.6","1,7","9",",7","5",",7","0",",7","0",",7","0",",7","0",",7","0","1,7","26","1,7","1","1,7","8.3",",7,08,+","0",",,7,30,+","0.0",",,7,30,+","24.1",",,7,13,","32.2","1,7,03,",,,"3157.7","H",,,,,,,"22.8","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80.5",",,,7","0",",,,7","20.1","1,7","26.7","1,,,7","13.5",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2023-07",,,"217.2","H","119.3",",7","10",",7","6",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","1",",7","12.2",",7,31,+","0",",,7,31,+","0.0",",,7,31,+","54.6",",,7,01,","32.8",",7,27,",,,"0.0","H",,,,,,,"0.0",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148.3",",,,7","0",",,,7","22.2",",7","28.4",",,,7","16.0",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2023-08",,,"300.3","H","83.1",",7","10",",7","8",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","2",",7","9.4",",7,31,","0",",,7,31,+","0.0",",,7,31,+","19.3",",,7,14,","33.3",",7,24,",,,"8.6","H",,,,,,,"8.6",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.4",",,,7","0",",,,7","20.7",",7","26.7",",,,7","14.8",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2023-09",,,"343.8","H","43.5",",7","8",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","26",",7","1",",7","7.8",",7,18,+","0",",,7,30,+","0.0",",,7,30,+","14.7",",,7,27,","32.2",",7,05,",,,"40.4","H",,,,,,,"31.8",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.8",",,,7","0",",,,7","18.7",",7","24.9",",,,7","12.5",",,,7",,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2023-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106.3","2,a,,N",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2023-06",,,,,,,"10",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"25.9",",,N,20,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82.7",",,,N",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2023-07",,,,,,,"12","4,N","9","4,N",,,,,,,,,,,,,,,,,,,,,"25.7","4,,N,16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.9","4,,,N",,,,,,,,,,,,,,,,,,
"US1INOH0001","AURORA 3.6 SSE, IN US","39.01535","-84.887306","224.0","2023-08",,,,,,,"9","1,N","6","1,N",,,,,,,,,,,,,,,,,,,,,"15.5","1,,N,25,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46.1","1,,,N",,,,,,,,,,,,,,,,,,
