"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2011-04",,,,,,,"14","1,K","13","1,K",,,,,,,,,,,,,,,,,,,,,"51.3","1,,K,24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"321.7","1,,,K",,,,,,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2011-05",,,,,,,"13",",K","11",",K",,,,,,,,,,,,,,,,,,,,,"61.2",",,K,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166.3",",,,K",,,,,,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2011-07",,,,,,,"4",",K","3",",K",,,,,,,,,,,,,,,,,,,,,"16.0",",,K,04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.8",",,,K",,,,,,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2011-08",,,,,,,"7",",K","5",",K",,,,,,,,,,,,,,,,,,,,,"45.7",",,K,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97.3",",,,K",,,,,,,,,,,,,,,,,,,,,,
"USC00122184","DEPUTY 1 WNW, IN US","38.7997","-85.6724","193.5","2011-09",,,,,,,"13",",K","7",",K",,,,,,,,,,,,,,,,,,,,,"34.5",",,K,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91.6",",,,K",,,,,,,,,,,,,,,,,,,,,,
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2011-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139.1",",a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2011-06",,,,,,,"9","5,N","6","5,N",,,,,,,,,,,,,,,,,,,,,"28.7","5,,N,10,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133.4",",a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2011-07",,,,,,,"5","3,N","4","3,N",,,,,,,,,,,,,,,,,,,,,"25.4","3,,N,30,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86.1",",a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2011-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.0","4,a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INJS0056","RENSSELAER 1.9 N, IN US","40.962393","-87.152687","210.0","2011-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94.4","1,a,,N",,,,,,,,,,,,,,,,,,,,,,
