"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2019-04",,,"0.3","7","0.3",",7","16",",7","13",",7","0",",7","0",",7","0",",7","2",",7","0",",7","5",",7","0",",7","-5.6",",7,01,","0",",,7,30,+","0.0",",,7,30,+","29.7",",,7,30,","24.4",",7,22,",,,"3470.4","7",,,,,,,,,"260.5",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163.5",",,,7","0",",,,7","9.7",",7","15.0",",,,7","4.3",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2019-05",,,"24.7","7","24.4",",7","19",",7","11",",7","0",",7","0",",7","0",",7","0",",7","0",",7","20",",7","0",",7","2.2",",7,13,+","0",",,7,31,+","0.0",",,7,31,+","16.5",",,7,27,","30.0",",7,19,+",,,"3577.5","7",,,,,,,,,"107.1",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112.7",",,,7","0",",,,7","15.7",",7","21.2",",,,7","10.2",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2019-06",,,"108.3","7","83.6",",7","10",",7","8",",7","0",",7","0",",7","0",",7","0",",7","0",",7","27",",7","1",",7","7.8",",7,13,","0",",,7,30,+","0.0",",,7,30,+","39.4",",,7,19,","32.2",",7,29,",,,"3595.5","7",,,,,,,,,"18.0",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120.3",",,,7","0",",,,7","20.5",",7","25.7",",,,7","15.3",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2019-07",,,"274.3","7","166.0",",7","9",",7","8",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","6",",7","12.2",",7,22,","0",",,7,31,+","0.0",",,7,31,+","64.5",",,7,02,","33.3",",7,20,+",,,"0.3","7",,,,,,,,,"0.3",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149.6",",,,7","0",",,,7","23.7",",7","29.5",",,,7","17.9",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2019-08",,,"367.3","7","93.0",",7","9",",7","6",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","0",",7","11.7",",7,29,+","0",",,7,31,+","0.0",",,7,31,+","29.5",",,7,18,","30.6",",7,05,",,,"1.6","7",,,,,,,,,"1.3",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82.2",",,,7","0",",,,7","21.3",",7","27.0",",,,7","15.6",",,,7",,,,,,,,,,
"USC00126420","NORTH MANCHESTER WWTP, IN US","40.9936","-85.7749","231.6","2019-09",,,"428.4","7","61.1",",7","12",",7","7",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","0",",7","8.3",",7,26,","0",",,7,30,+","0.0",",,7,30,+","50.8",",,7,12,","31.1",",7,12,+",,,"17.3","7",,,,,,,,,"15.7",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.3",",,,7","0",",,,7","19.9",",7","25.9",",,,7","13.8",",,,7",,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2019-05",,,,,,,"20",",N","14",",N",,,,,,,,,,,,,,,,,,,,,"34.0",",,N,01,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150.3",",,,N",,,,,,,,,,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2019-06",,,,,,,"12","1,N","6","1,N",,,,,,,,,,,,,,,,,,,,,"24.1","1,,N,24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89.3","1,,,N",,,,,,,,,,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2019-08",,,,,,,"9",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"17.5",",,N,13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.3",",,,N",,,,,,,,,,,,,,,,,,
"US1INJS0054","RENSSELAER 4.3 N, IN US","40.99768","-87.161535","209.7","2019-09",,,,,,,"14",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"107.7",",,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177.1",",,,N",,,,,,,,,,,,,,,,,,
