,Year,County,DP01_4,DP01_5,DP01_6,DP01_7,DP01_8,DP01_9,DP01_10,DP10_4,DP10_5,DP10_6,DP10_7,DP10_8,DP10_9,DP10_10,DT00_4,DT00_5,DT00_6,DT00_7,DT00_8,DT00_9,DT00_10,DT32_4,DT32_5,DT32_6,DT32_7,DT32_8,DT32_9,DT32_10,DX32_4,DX32_5,DX32_6,DX32_7,DX32_8,DX32_9,DX32_10,DX90_4,DX90_5,DX90_6,DX90_7,DX90_8,DX90_9,DX90_10,EMSD_4,EMSD_5,EMSD_6,EMSD_7,EMSD_8,EMSD_9,EMSD_10,EMXP_4,EMXP_5,EMXP_6,EMXP_7,EMXP_8,EMXP_9,EMXP_10,EMXT_4,EMXT_5,EMXT_6,EMXT_7,EMXT_8,EMXT_9,EMXT_10,PRCP_4,PRCP_5,PRCP_6,PRCP_7,PRCP_8,PRCP_9,PRCP_10,SNOW_4,SNOW_5,SNOW_6,SNOW_7,SNOW_8,SNOW_9,SNOW_10,TAVG_4,TAVG_5,TAVG_6,TAVG_7,TAVG_8,TAVG_9,TAVG_10,Value
10,2002,DAVIESS,13.0,13.2,11.0,10.2,6.0,8.0,7.0,12.0,9.0,7.5,7.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,34.8,35.666666666666664,34.69285714285715,16.5,50.8,31.8,27.937871485943774,31.11769103383014,33.59383756464504,33.77224976392824,36.7,36.1,30.0,165.1,122.94583333333333,112.375,104.26666666666668,38.4,131.5,117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.240054489457476,17.020451735615787,22.051781568348733,23.54112458392772,25.3,22.5,13.1,106.7
11,2002,DE KALB,12.0,11.666666666666666,9.0,7.333333333333333,7.666666666666667,6.666666666666667,6.333333333333333,8.0,9.0,5.333333333333333,5.333333333333333,5.333333333333333,3.6666666666666665,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.23333333333333,36.333333333333336,17.6,54.36666666666667,21.166666666666668,25.1,14.233333333333334,29.4,30.0,32.8,34.4,33.9,34.4,28.9,101.2,104.7,57.0,114.76666666666668,57.5,58.93333333333334,39.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,10.6,13.5,21.7,24.2,22.6,20.2,10.3,119.0
12,2002,DEARBORN,12.666666666666666,14.333333333333334,9.333333333333334,6.333333333333333,7.0,5.0,8.5,9.333333333333334,12.333333333333334,7.666666666666667,3.6666666666666665,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.5,2.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,42.36666666666667,54.1,38.1,10.766666666666666,15.75,138.9,41.7,28.3,27.8,31.7,32.8,33.50554997608799,32.618047078306134,28.586175500588933,190.4,256.6666666666667,120.56666666666668,35.333333333333336,38.45,191.3,101.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,13.9,21.4,23.6,22.79783490224475,19.443138170498084,12.600347919655666,80.4
13,2002,DECATUR,12.0,13.0,9.0,8.0,6.0,6.0,7.0,11.0,10.0,8.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8,63.5,47.5,9.4,33.8,50.8,34.8,30.0,28.3,32.8,35.6,35.6,35.0,29.4,193.8,223.2,107.5,30.9,73.2,89.9,93.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,16.0,24.1,26.2,25.4,22.4,12.7,112.5
14,2002,DELAWARE,14.5,14.0,9.0,5.0,9.5,8.0,4.5,10.5,12.0,6.0,3.5,7.5,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,73.0,41.15,33.900000000000006,24.8,43.3,16.5,30.0,28.3,33.9,35.0,35.6,33.9,29.4,127.4,168.3,85.05,66.05,83.65,88.30000000000001,38.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,13.7,23.5,24.6,23.4,19.443138170498084,11.0,106.0
15,2002,DUBOIS,11.0,12.5,5.5,4.5,8.5,6.5,11.5,10.0,9.0,3.5,2.5,6.0,4.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.35,98.3,20.05,20.15,25.15,55.75,31.85,30.0,29.4,33.9,36.1,38.3,36.1,30.6,150.14999999999998,241.25,46.6,31.6,67.30000000000001,134.35000000000002,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,16.5,24.0,26.3,25.5,22.6,12.8,78.7
16,2002,ELKHART,14.0,12.0,10.0,8.0,9.0,7.333333333333333,9.333333333333334,9.5,9.0,6.333333333333333,4.666666666666667,4.333333333333333,3.333333333333333,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,68.7,22.266666666666666,30.933333333333337,30.7,13.666666666666666,16.866666666666667,29.45,28.6,33.05,34.7,32.8,34.15,29.75,103.9,160.73333333333332,69.3,69.60000000000001,72.60000000000001,29.600000000000005,44.16666666666666,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,12.95,21.6,23.95,22.200000000000003,19.85,9.85,126.1
17,2002,FOUNTAIN,12.0,15.0,10.0,5.0,9.0,6.0,8.0,7.0,11.0,8.0,5.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,21.1,18.5,83.6,146.6,22.9,10.9,30.6,27.8,33.9,33.77224976392824,33.50554997608799,32.8,31.7,153.1,159.5,62.0,145.0,257.8,50.7,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,14.8,23.3,23.54112458392772,22.79783490224475,20.2,11.1,140.2
18,2002,FRANKLIN,12.0,13.0,10.0,6.0,7.0,9.0,9.0,10.0,11.0,5.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,46.0,32.8,2.8,32.8,74.7,40.1,30.6,29.4,33.9,36.7,37.8,37.2,30.0,177.0,207.9,72.6,9.4,47.0,112.9,88.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,15.2,23.2,25.6,25.6,21.8,12.4,78.1
19,2002,FULTON,14.0,13.0,10.0,7.0,10.0,8.0,6.0,9.0,9.0,6.0,5.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,38.6,24.9,48.8,26.4,20.8,13.7,29.4,27.8,33.3,35.6,33.9,33.9,29.4,129.4,162.1,53.6,83.7,82.8,47.2,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,12.8,21.6,24.2,22.8,19.9,10.4,118.1
