Location,AWS,Representative_Non-Irrigated_Yield,cec7_l,ksat_l,awc_l,ph1to1h2o_l,ec_l,ec_r,ec_h,"soil_type_Coarse-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Coarse-loamy, mixed, superactive, mesic Mollic Hapludalfs","soil_type_Euic, mesic Typic Haplosaprists","soil_type_Fine, illitic, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aquultic Hapludalfs","soil_type_Fine, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Argiudolls","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-silty, mixed, active, mesic Ultic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Typic Argiaquolls","soil_type_Fine-silty, mixed, superactive, mesic Typic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","soil_type_Loamy, mixed, active, mesic Arenic Hapludalfs","soil_type_Mixed, mesic Aquic Udipsamments","soil_type_Mixed, mesic Typic Udipsamments","soil_type_Sandy, mixed, mesic Typic Endoaquolls",Drainage_Somewhat poorly drained,Drainage_Very poorly drained,Drainage_Well drained,texture_primary_Loam,texture_primary_Loamy sand,texture_primary_Sand,texture_primary_Sandy loam,texture_primary_Silt loam,texture_primary_Silty clay loam,texture_secondary_L,texture_secondary_LS,texture_secondary_S,texture_secondary_SICL,texture_secondary_SIL,rvindicator_tex_Yes,RoadwayRelevanceSoilGrade_A-4,RoadwayRelevanceSoilGrade_A-6,HumanErosion_Sheet erosion,HumanErosion_Wind erosion,MoisterClass_Udic,Drainage_class_Somewhat poorly drained,Drainage_class_Very poorly drained,Drainage_class_Well drained
Switzerland County,-0.15988718685782685,4.574989821360277,0.07626505297820718,-0.7216929978344186,0.11192143515496646,-0.7443549624595674,0.0,0.0,0.10619329000711208,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Martin County,-0.5009714275926521,1.5532106846330302,-0.5581869348963665,-0.5977425170721136,0.8265941962911564,-0.9328785612504673,0.0,0.0,-1.3610761389874064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
Rush County,0.05030968106073578,-0.13377363788700053,0.17780079132124965,0.13856200698713683,-0.8741447601471525,0.2876156113216267,0.0,0.0,1.970550438735645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Ripley County,0.5094644152628585,1.6419907009027792,-0.17189940339664017,-0.7709319933908676,0.45998739012079315,-0.8769969350411659,0.0,0.0,0.3944677104392906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Fountain County,0.6846836154307061,-0.01913827006766467,-0.3591039555911388,0.6966325938249442,0.2961502373384517,0.17417082272258014,0.0,0.0,-0.5612184764549404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1
Lake County,-0.9197503189027776,-0.18182378465005725,2.978862892801414,0.34578171250024703,1.2386964291310802,0.1236530149039304,0.0,2.7647638620921087,-0.12846831284952298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Jasper County,-1.270918139671611,-0.033869506465886316,2.7559911612595296,1.0717496547652983,2.4075371602888067,0.20287562867205877,0.0,4.876480940934076,-0.5571523707400083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Lagrange County,0.3163769002877327,-0.3075434687921727,1.988749094373556,0.9577678964401932,1.2616022842154173,-0.010848571402312575,0.0,5.578699775128359,-0.22631918002017806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Daviess County,-0.7846843890780602,0.8915306539474742,-0.39138805969099966,-0.44805742389410685,0.9180582596065913,-0.8253585230189349,0.0,3.8854003139717443,0.015539475831788111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Dearborn County,-0.5608322391355298,1.8163666996158387,0.19314994174095615,-0.5872078065281423,-0.032559785974319404,-0.5850207837421839,0.0,0.0,-0.3617433415707107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
Boone County,1.3198516305386192,-0.3907323234283873,-0.3107067352376345,0.36084314584108346,-0.403383776991185,0.26450656995724275,0.0,0.0,0.4705209171007323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Jay County,0.5615354054927206,-0.0669660149402914,1.0237006343833805,-0.49820696027232547,-1.164412446140767,0.3279413860596962,0.0,0.0,0.25571648616424153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Johnson County,0.6740083358643766,0.26106269512250596,-0.34481547533895307,0.15321952315041254,-0.43309035637468196,0.14048642609346748,0.0,0.0,0.843347904776721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
Floyd County,1.0446534260663805,4.877570916493504,-0.4111920999320204,-0.710315224691877,1.029628482951972,-0.9823733845615795,0.0,0.0,-1.5394039130737656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Cass County,-0.8735452988828464,-0.012352300729080895,0.6875097288295344,0.4942915795416093,-0.6616302137742089,0.13480956872426472,0.0,0.4251610458506985,1.0012153243494335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Clay County,-0.8478759424625381,0.9637839943399934,-0.635020876280678,-0.4170820565605481,0.6890995939717093,-0.8105243418577546,0.0,0.0,0.3225912673626056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Clark County,0.2613929807365862,6.36076486521507,-0.28352677059192244,-0.7462693322692483,0.42233558027370927,-1.0537976239459397,0.0,0.0,-1.3674697925121084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Allen County,-0.24787264222405636,-0.015641691148969072,0.7998039971690297,-0.21508915009699103,-1.230355109082117,0.1944792448841753,0.0,0.752889352027282,0.526734797461114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Delaware County,0.23155414618288053,-0.1936800345189286,0.44028783318178344,0.29272759840992096,-1.0393293562413857,0.3944532701591429,0.0,0.0,-1.0194765454336938,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Hancock County,1.2905755089423907,-0.10026669389204576,-0.23001740302364512,0.1281108330217635,-0.38301458964558815,0.29137516770286653,0.0,0.0,1.5720844166264498,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Harrison County,0.14224551101948352,0.5170027034111218,-0.12188283194520416,-0.6730562395348939,0.4648952520717203,-0.9821123656493156,0.0,0.0,-1.6954497993946651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Madison County,0.9929786326996908,-0.05586457761915227,0.127888074808632,0.44645469478725425,-0.8546488125845937,0.29489709802188435,0.0,0.0,1.173609057125227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Hamilton County,1.3757060585262577,-0.1362896569763504,-0.07657565419753147,0.5263255716526644,-0.6561397885769483,0.31144842411812834,0.0,0.0,1.5180311811521876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
De Kalb County,-0.794925965538421,-0.16956983535543588,1.1703088360416622,-0.1492255573301002,-1.7328768326395958,0.21931945260470304,0.0,0.0,1.2420984486777142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bartholomew County,0.4394787828994288,2.569164230828152,-0.5293403327439784,0.01940133827242067,0.1425227289335131,-0.40392188163681625,0.0,0.0,-0.8086202032603288,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Gibson County,-0.392625860041199,-0.16973899163297734,-0.1809988508490748,-0.240724995456403,2.044741405497447,-0.35283462884125016,0.0,5.232498982498992,-0.674844614335801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Huntington County,-0.2055438304000318,-0.15628529542574476,0.628292757399753,-0.47620222612750573,-1.2941879293330751,0.19307602420346293,0.0,0.02948741309710012,1.0219881904036303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Howard County,1.0655088896489207,0.5312878612293782,0.1981241579762402,-0.36930499519755006,-1.1067468077256173,0.2535010911918843,0.0,0.0,1.8993304280424068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Lawrence County,-0.5384661147856783,1.7867252643576823,-0.4552551267882052,-0.40911559625500094,0.44691129583919637,-1.1309470415256169,0.0,0.0,-1.6940655749643723,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Ohio County,-0.5730652656290701,2.112997398096994,0.2059132394808735,-0.5784047450203569,-0.04276829837906509,-0.620092761580151,0.0,0.0,-0.4774137820919773,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
Perry County,-0.4171871507434841,0.6384145543369526,-0.5037638067411262,-0.5159043339152645,0.618972347905254,-0.9106284062463775,0.0,0.0,-1.7222480467494186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
Whitley County,0.19065269224886547,-0.19169752797310774,1.9841515890738624,0.33912157946184246,-0.7719389491410255,0.2230583294978799,0.0,0.6362788587559203,0.43437754159095576,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Wayne County,-0.10705016033870898,0.041196044323603284,0.11356474298379929,0.14940010662922035,-1.218102908047286,0.2914202238383548,0.0,0.0,1.4770847634070203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
Wells County,0.09392111129052194,-0.02467264135540332,0.837537897443588,-0.6939406320219094,-0.8885184093189593,0.2793378947036736,0.0,0.0,0.41859275904118176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
St. Joseph County,-1.1581245714208381,-0.6790647405452013,0.09166983845119052,2.2565008861506963,-1.653434274108918,-0.16000760193012634,0.0001385041551246,1.4515539861800275,-1.204829379774824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
Pike County,-0.08795623747027345,-0.02621221051368434,-0.3320771536646691,-0.5576914430740307,1.7033712706775426,-0.7631586266680804,0.0,9.254807692307706,-0.4356169002229482,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Noble County,0.2109913724900631,-0.21197444791686057,1.6762100637343538,0.2609200062951991,-0.2696747152700858,0.17043518529769955,0.0,1.592242194891202,0.8453285915079145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Spencer County,0.47131109829911955,0.6136674191775408,-0.3503759695336956,-0.7383823359474,1.3572178456147144,-0.8874599498768858,0.0,1.0576923076923077,-1.0126514750287592,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Warren County,0.3769295726082373,0.0035566746206843205,-0.223407368242198,0.4892229220152662,-0.7292733623724573,0.18866632097224267,0.0,0.21076359537897776,-0.308253412991035,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
Starke County,-3.9700867237578,-0.3291544810079123,0.9101719958594923,1.9597356994358368,-0.5625573074393836,-0.28898911680857586,0.0,4.203296703296709,-0.4590101937961569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
